"","n","false.negative.error","false.positive.error","sensitivity","false.discovery.rate","precision","accuracy"
"1",1,0.0453400503778338,0.0266700589324637,0.954659949622166,0.988544657699864,0.011455342300136,0.973323898930152
"2",31,0.0705289672544081,0.00163334336334999,0.929471032745592,0.844435075885329,0.155564924114671,0.99834436006378
"3",61,0.0730478589420655,0.00105682126754947,0.926952141057935,0.778846153846154,0.221153846153846,0.998919880396114
"4",91,0.0957178841309824,0.000840727412687889,0.904282115869018,0.741726618705036,0.258273381294964,0.999128567655431
"5",121,0.0957178841309824,0.000649912461602568,0.904282115869018,0.689446366782007,0.310553633217993,0.9993193208534
"6",151,0.10831234256927,0.000618925418263926,0.891687657430731,0.681940700808625,0.318059299191375,0.999346221945422
"7",181,0.113350125944584,0.00051536345763215,0.886649874055416,0.642276422764228,0.357723577235772,0.99944812002126
"8",211,0.113350125944584,0.000499869935962829,0.886649874055416,0.635233160621762,0.364766839378238,0.999463608528787
"9",241,0.113350125944584,0.000415878739544931,0.886649874055416,0.591647331786543,0.408352668213457,0.999547572543278
"10",271,0.115869017632242,0.000393046181295405,0.884130982367758,0.578631452581032,0.421368547418968,0.999569582527659
"11",301,0.115869017632242,0.000411801497000373,0.884130982367758,0.589953271028037,0.410046728971963,0.999550833281705
"12",331,0.118387909319899,0.000366951829010233,0.881612090680101,0.5625,0.4375,0.999594853250467
"13",361,0.123425692695214,0.000302531396806214,0.876574307304786,0.515994436717663,0.484005563282337,0.999657622465183
"14",391,0.123425692695214,0.000331072094618121,0.876574307304786,0.538461538461538,0.461538461538462,0.999629091003949
"15",421,0.123425692695214,0.000321286712511182,0.876574307304786,0.53099730458221,0.46900269541779,0.999638873219229
"16",451,0.123425692695214,0.000287853323645805,0.876574307304786,0.503566333808845,0.496433666191155,0.999672295788104
"17",481,0.128463476070529,0.000298454154261656,0.871536523929471,0.514044943820225,0.485955056179775,0.999660068019004
"18",511,0.128463476070529,0.000256866280307163,0.871536523929471,0.476550680786687,0.523449319213313,0.999701642433946
"19",541,0.128463476070529,0.0002454500011824,0.871536523929471,0.465224111282844,0.534775888717156,0.999713055018439
"20",571,0.128463476070529,0.00026012807434281,0.871536523929471,0.479699248120301,0.520300751879699,0.999698381695519
"21",601,0.136020151133501,0.000230771928021991,0.863979848866499,0.452076677316294,0.547923322683706,0.99972528278754
"22",631,0.153652392947103,0.000217724751879405,0.846347607052897,0.442786069651741,0.557213930348259,0.999732619449
"23",661,0.158690176322418,0.000216093854861582,0.841309823677582,0.442404006677796,0.557595993322204,0.999732619449
"24",691,0.156171284634761,0.00018021412046947,0.843828715365239,0.397482014388489,0.602517985611511,0.999769302756302
"25",721,0.161209068010076,0.000163905150291237,0.838790931989924,0.376404494382022,0.623595505617977,0.999783976079223
"26",751,0.158690176322418,0.000212016612317024,0.841309823677582,0.437710437710438,0.562289562289562,0.999736695372034
"27",781,0.161209068010076,0.000167982392835796,0.838790931989924,0.382189239332096,0.617810760667904,0.999779900156189
"28",811,0.161209068010076,0.000152488871166475,0.838790931989924,0.359615384615385,0.640384615384615,0.999795388663717
"29",841,0.158690176322418,0.000185922260031851,0.841309823677582,0.405693950177936,0.594306049822064,0.999762781279449
"30",871,0.161209068010076,0.000159012459237768,0.838790931989924,0.369318181818182,0.630681818181818,0.999788867186863
"31",901,0.18639798488665,0.00017042873836253,0.81360201511335,0.392857142857143,0.607142857142857,0.999769302756302
"32",931,0.161209068010076,0.000162274253273414,0.838790931989924,0.37406015037594,0.62593984962406,0.999785606448436
"33",961,0.18639798488665,0.000156566113711033,0.81360201511335,0.372815533980583,0.627184466019417,0.999783160894616
"34",991,0.18639798488665,0.000149227077130828,0.81360201511335,0.361660079051383,0.638339920948617,0.999790497556077
"35",1021,0.18639798488665,0.000148411628621916,0.81360201511335,0.36039603960396,0.63960396039604,0.999791312740683
"36",1051,0.198992443324937,0.000127209967390214,0.801007556675063,0.329113924050633,0.670886075949367,0.999808431617424
"37",1081,0.204030226700252,0.000123948173354568,0.795969773299748,0.324786324786325,0.675213675213675,0.999810061986637
"38",1111,0.198992443324937,0.000128840864408037,0.801007556675063,0.331932773109244,0.668067226890756,0.999806801248211
"39",1141,0.198992443324937,0.000128840864408037,0.801007556675063,0.331932773109244,0.668067226890756,0.999806801248211
"40",1171,0.188916876574307,0.000131287209934772,0.811083123425693,0.333333333333333,0.666666666666667,0.999807616432817
"41",1201,0.206549118387909,0.000116609136774363,0.793450881612091,0.312227074235808,0.687772925764192,0.999816583463491
"42",1231,0.204030226700252,0.000122317276336744,0.795969773299748,0.321888412017167,0.678111587982833,0.999811692355851
"43",1261,0.206549118387909,0.000118240033792186,0.793450881612091,0.315217391304348,0.684782608695652,0.999814953094278
"44",1291,0.206549118387909,0.000111716445720893,0.793450881612091,0.303097345132743,0.696902654867257,0.999821474571131
"45",1321,0.209068010075567,0.00011008554870307,0.790931989924433,0.300668151447661,0.699331848552339,0.999822289755738
"46",1351,0.226700251889169,0.000106823754667423,0.773299748110831,0.299086757990868,0.700913242009132,0.999819844201918
"47",1381,0.206549118387909,0.000111716445720893,0.793450881612091,0.303097345132743,0.696902654867257,0.999821474571131
"48",1411,0.239294710327456,0.00011008554870307,0.760705289672544,0.308924485125858,0.691075514874142,0.999812507540458
"49",1441,0.226700251889169,0.00011008554870307,0.773299748110831,0.305429864253394,0.694570135746606,0.999816583463491
"50",1471,0.211586901763224,0.000106008306158512,0.788413098236776,0.293453724604966,0.706546275395034,0.999825550494165
"51",1501,0.244332493702771,9.86692695783071e-05,0.755667506297229,0.287410926365796,0.712589073634204,0.999822289755738
"52",1531,0.246851385390428,9.13302329981025e-05,0.753148614609572,0.272506082725061,0.727493917274939,0.999828811232592
"53",1561,0.241813602015113,0.000104377409140689,0.758186397984887,0.298368298368298,0.701631701631702,0.999817398648098
"54",1591,0.231738035264484,9.37765785248373e-05,0.768261964735516,0.273809523809524,0.726190476190476,0.999831256786412
"55",1621,0.244332493702771,0.000101115615105042,0.755667506297229,0.292452830188679,0.707547169811321,0.999819844201918
"56",1651,0.239294710327456,9.94847180872187e-05,0.760705289672544,0.287735849056604,0.712264150943396,0.999823104940345
"57",1681,0.241813602015113,9.94847180872187e-05,0.758186397984887,0.288416075650118,0.711583924349882,0.999822289755738
"58",1711,0.246851385390428,8.64375419446327e-05,0.753148614609572,0.261728395061728,0.738271604938272,0.999833702340232
"59",1741,0.246851385390428,8.48066449268094e-05,0.753148614609572,0.258064516129032,0.741935483870968,0.999835332709445
"60",1771,0.246851385390428,8.15448508911629e-05,0.753148614609572,0.25062656641604,0.74937343358396,0.999838593447872
"61",1801,0.249370277078086,8.15448508911629e-05,0.750629722921914,0.251256281407035,0.748743718592965,0.999837778263265
"62",1831,0.249370277078086,7.2574917293135e-05,0.750629722921914,0.229974160206718,0.770025839793282,0.999846745293939
"63",1861,0.249370277078086,7.58367113287815e-05,0.750629722921914,0.237851662404092,0.762148337595908,0.999843484555512
"64",1891,0.246851385390428,8.80684389624559e-05,0.753148614609572,0.265356265356265,0.734643734643735,0.999832071971019
"65",1921,0.27455919395466,7.17594687842234e-05,0.72544080604534,0.234042553191489,0.765957446808511,0.999839408632479
"66",1951,0.249370277078086,7.82830568555164e-05,0.750629722921914,0.243654822335025,0.756345177664975,0.999841039001692
"67",1981,0.249370277078086,7.2574917293135e-05,0.750629722921914,0.229974160206718,0.770025839793282,0.999846745293939
"68",2011,0.249370277078086,7.42058143109582e-05,0.750629722921914,0.233933161953728,0.766066838046273,0.999845114924726
"69",2041,0.249370277078086,7.33903658020466e-05,0.750629722921914,0.231958762886598,0.768041237113402,0.999845930109333
"70",2071,0.27455919395466,6.76822262396652e-05,0.72544080604534,0.223719676549865,0.776280323450135,0.999843484555512
"71",2101,0.27455919395466,7.01285717664001e-05,0.72544080604534,0.229946524064171,0.770053475935829,0.999841039001692
"72",2131,0.27455919395466,7.01285717664001e-05,0.72544080604534,0.229946524064171,0.770053475935829,0.999841039001692
"73",2161,0.277078085642317,6.27895351861954e-05,0.722921914357683,0.211538461538462,0.788461538461538,0.999847560478546
"74",2191,0.282115869017632,6.11586381683722e-05,0.717884130982368,0.208333333333333,0.791666666666667,0.999847560478546
"75",2221,0.277078085642317,5.87122926416373e-05,0.722921914357683,0.200557103064067,0.799442896935933,0.999851636401579
"76",2251,0.27455919395466,6.27895351861954e-05,0.72544080604534,0.210958904109589,0.789041095890411,0.999848375663153
"77",2281,0.282115869017632,6.19740866772838e-05,0.717884130982368,0.210526315789474,0.789473684210526,0.999846745293939
"78",2311,0.27455919395466,6.11586381683722e-05,0.72544080604534,0.206611570247934,0.793388429752066,0.999850006032366
"79",2341,0.314861460957179,5.38196015881675e-05,0.685138539042821,0.195266272189349,0.804733727810651,0.999844299740119
"80",2371,0.277078085642317,5.7081395623814e-05,0.722921914357683,0.196078431372549,0.803921568627451,0.999853266770793
"81",2401,0.282115869017632,5.87122926416373e-05,0.717884130982368,0.201680672268908,0.798319327731092,0.999850006032366
"82",2431,0.282115869017632,5.7081395623814e-05,0.717884130982368,0.197183098591549,0.802816901408451,0.999851636401579
"83",2461,0.282115869017632,5.7081395623814e-05,0.717884130982368,0.197183098591549,0.802816901408451,0.999851636401579
"84",2491,0.282115869017632,5.46350500970791e-05,0.717884130982368,0.190340909090909,0.809659090909091,0.9998540819554
"85",2521,0.282115869017632,5.87122926416373e-05,0.717884130982368,0.201680672268908,0.798319327731092,0.999850006032366
"86",2551,0.282115869017632,5.46350500970791e-05,0.717884130982368,0.190340909090909,0.809659090909091,0.9998540819554
"87",2581,0.297229219143577,5.21887045703443e-05,0.702770780856423,0.186588921282799,0.813411078717201,0.999851636401579
"88",2611,0.28463476070529,5.38196015881675e-05,0.71536523929471,0.188571428571429,0.811428571428571,0.9998540819554
"89",2641,0.294710327455919,5.21887045703443e-05,0.705289672544081,0.186046511627907,0.813953488372093,0.999852451586186
"90",2671,0.360201511335013,5.13732560614326e-05,0.639798488664987,0.198738170347003,0.801261829652997,0.999832071971019
"91",2701,0.360201511335013,5.13732560614326e-05,0.639798488664987,0.198738170347003,0.801261829652997,0.999832071971019
"92",2731,0.360201511335013,5.13732560614326e-05,0.639798488664987,0.198738170347003,0.801261829652997,0.999832071971019
"93",2761,0.314861460957179,5.13732560614326e-05,0.685138539042821,0.188059701492537,0.811940298507463,0.999846745293939
"94",2791,0.360201511335013,5.13732560614326e-05,0.639798488664987,0.198738170347003,0.801261829652997,0.999832071971019
"95",2821,0.360201511335013,4.97423590436094e-05,0.639798488664987,0.193650793650794,0.806349206349206,0.999833702340232
