"","fname_c1.jar","lname_c1.jar","by.Abs","bm.Abs","bd.Abs","True_Match","CurrentRecord1","CurrentRecord2"
"5",0,0,37,4,21,0,1,6
"11",0,0,2,1,13,0,1,12
"29",0,0,23,2,26,0,1,30
"67",0,0,17,3,25,0,1,68
"128",0,0,34,4,1,0,1,129
"131",0,0,42,5,3,0,1,132
"134",0,0,20,5,26,0,1,135
"139",0,0,22,1,4,0,1,140
"144",0,0,13,5,15,0,1,145
"167",0,0,2,3,2,0,1,168
"174",0,0,27,5,13,0,1,175
"176",0,0,12,4,6,0,1,177
"178",0,0,3,1,25,0,1,179
"186",0,0,10,4,10,0,1,187
"254",0,0,9,5,2,0,1,255
"53177",1,1,38,1,12,0,113,146
"65355",1,1,43,3,16,0,143,249
"70687",1,1,71,6,17,0,157,254
"72896",1,1,8,6,22,0,163,240
"81055",1,1,14,1,10,0,186,211
"84499",1,1,1,5,16,1,196,260
"118690",1,1,36,3,22,0,321,451
"121810",1,1,27,2,21,0,337,347
"130538",1,1,49,6,3,0,388,507
"130766",1,1,20,5,5,0,390,452
"131409",1,1,18,5,2,0,395,405
"131733",1,1,27,1,5,0,397,460
"131838",1,1,14,2,7,0,398,432
"136197",1,1,2,4,6,0,436,478
"138560",1,1,45,1,20,1,465,521
"138920",1,1,6,3,4,0,471,506
"66226",0.444444444444444,0.455555555555556,48,3,18,0,145,347
"112899",0.513888888888889,0.863888888888889,26,5,9,0,295,445
"18929",0,0.466666666666667,9,1,13,0,37,516
"111314",0.555555555555556,0.585714285714286,19,4,2,0,289,291
"75427",0.583333333333333,0.73,33,4,3,0,170,223
"66153",0.513888888888889,1,29,1,18,0,145,274
"11266",0.472222222222222,0,8,4,2,0,22,368
"39217",0.658333333333333,0.527777777777778,56,1,15,0,80,508
"102412",0.547619047619048,0.625,68,5,5,0,254,454
"100433",0.490740740740741,0.416666666666667,16,2,12,0,247,435
"99427",0.455555555555556,0.657142857142857,33,4,1,0,244,284
"99495",0.466666666666667,0.366666666666667,33,2,5,0,244,352
"135457",0.455555555555556,0,1,5,8,0,428,526
"83978",0.555555555555556,0.422619047619048,52,2,19,0,194,410
"11014",0,0,18,3,20,0,22,116
"74394",0.464285714285714,1,19,1,2,0,167,276
"36465",0.472222222222222,0,41,2,8,0,74,477
"130323",0.587301587301587,0.863888888888889,29,5,11,0,387,435
"24088",0.502645502645503,0,10,3,13,0,48,307
"39425",0,0.466666666666667,25,5,16,0,81,266
"120429",0.466666666666667,0.472222222222222,6,2,7,0,330,345
"73006",0.455555555555556,0.642857142857143,36,3,9,0,163,350
"40212",0.595238095238095,0.561904761904762,13,5,1,0,83,156
"3988",0.53968253968254,0.605714285714286,59,2,3,0,8,307
"70706",0.428571428571429,0.625,43,2,7,0,157,273
"132367",0.455555555555556,0.447619047619048,1,5,1,0,402,439
"127846",0,0.779761904761905,51,5,18,0,371,382
"137556",0.53968253968254,0.436507936507937,40,3,9,0,452,453
"33486",0.436507936507937,0.395238095238095,26,2,27,0,68,255
