"","n","false.negative.error","sensitivity","false.discovery.rate","precision"
"1",1,0,1,0.989342806394316,0.0106571936056838
"2",121,0,1,0.555555555555556,0.444444444444444
"3",241,0,1,0.478260869565217,0.521739130434783
"4",361,0,1,0.454545454545455,0.545454545454545
"5",481,0,1,0.428571428571429,0.571428571428571
"6",601,0,1,0.368421052631579,0.631578947368421
"7",721,0.0833333333333333,0.916666666666667,0.388888888888889,0.611111111111111
"8",841,0.0833333333333333,0.916666666666667,0.388888888888889,0.611111111111111
"9",961,0.0833333333333333,0.916666666666667,0.388888888888889,0.611111111111111
"10",1081,0.0833333333333333,0.916666666666667,0.388888888888889,0.611111111111111
"11",1201,0.0833333333333333,0.916666666666667,0.388888888888889,0.611111111111111
"12",1321,0.166666666666667,0.833333333333333,0.375,0.625
"13",1441,0.166666666666667,0.833333333333333,0.285714285714286,0.714285714285714
"14",1561,0.166666666666667,0.833333333333333,0.285714285714286,0.714285714285714
"15",1681,0.166666666666667,0.833333333333333,0.285714285714286,0.714285714285714
"16",1801,0.166666666666667,0.833333333333333,0.285714285714286,0.714285714285714
"17",1921,0.166666666666667,0.833333333333333,0.285714285714286,0.714285714285714
"18",2041,0.166666666666667,0.833333333333333,0.230769230769231,0.769230769230769
"19",2161,0.166666666666667,0.833333333333333,0.230769230769231,0.769230769230769
"20",2281,0.166666666666667,0.833333333333333,0.230769230769231,0.769230769230769
"21",2401,0.166666666666667,0.833333333333333,0.230769230769231,0.769230769230769
"22",2521,0.166666666666667,0.833333333333333,0.230769230769231,0.769230769230769
"23",2641,0.166666666666667,0.833333333333333,0.230769230769231,0.769230769230769
"24",2761,0.166666666666667,0.833333333333333,0.230769230769231,0.769230769230769
"25",2881,0.166666666666667,0.833333333333333,0.230769230769231,0.769230769230769
"26",3001,0.166666666666667,0.833333333333333,0,1
"27",3121,0.166666666666667,0.833333333333333,0.0909090909090909,0.909090909090909
"28",3241,0.166666666666667,0.833333333333333,0,1
"29",3361,0.166666666666667,0.833333333333333,0,1
"30",3481,0.25,0.75,0,1
"31",3601,0.25,0.75,0,1
"32",3721,0.25,0.75,0,1
"33",3841,0.25,0.75,0,1
"34",3961,0.25,0.75,0,1
"35",4081,0.25,0.75,0,1
"36",4201,0.25,0.75,0,1
"37",4321,0.25,0.75,0,1
"38",4441,0.25,0.75,0,1
"39",4561,0.333333333333333,0.666666666666667,0,1
"40",4681,0.333333333333333,0.666666666666667,0,1
