"","n","false.negative.error","sensitivity","false.discovery.rate","precision"
"1",1,0.0508474576271186,0.949152542372881,0.986114554921894,0.0138854450781056
"2",81,0.101694915254237,0.898305084745763,0.748815165876777,0.251184834123223
"3",161,0.101694915254237,0.898305084745763,0.649006622516556,0.350993377483444
"4",241,1,0,NA,NA
"5",321,0.101694915254237,0.898305084745763,0.539130434782609,0.460869565217391
"6",401,0.135593220338983,0.864406779661017,0.509615384615385,0.490384615384615
"7",481,0.135593220338983,0.864406779661017,0.484848484848485,0.515151515151515
"8",561,0.135593220338983,0.864406779661017,0.484848484848485,0.515151515151515
"9",641,0.135593220338983,0.864406779661017,0.479591836734694,0.520408163265306
"10",721,0.186440677966102,0.813559322033898,0.428571428571429,0.571428571428571
"11",801,0.186440677966102,0.813559322033898,0.421686746987952,0.578313253012048
"12",881,0.203389830508475,0.796610169491525,0.397435897435897,0.602564102564103
"13",961,0.305084745762712,0.694915254237288,0.430555555555556,0.569444444444444
"14",1041,0.305084745762712,0.694915254237288,0.422535211267606,0.577464788732394
"15",1121,0.372881355932203,0.627118644067797,0.362068965517241,0.637931034482759
"16",1201,0.372881355932203,0.627118644067797,0.362068965517241,0.637931034482759
"17",1281,0.372881355932203,0.627118644067797,0.362068965517241,0.637931034482759
"18",1361,0.372881355932203,0.627118644067797,0.350877192982456,0.649122807017544
"19",1441,0.423728813559322,0.576271186440678,0.37037037037037,0.62962962962963
"20",1521,0.440677966101695,0.559322033898305,0.377358490566038,0.622641509433962
"21",1601,0.440677966101695,0.559322033898305,0.365384615384615,0.634615384615385
"22",1681,0.440677966101695,0.559322033898305,0.365384615384615,0.634615384615385
"23",1761,0.474576271186441,0.525423728813559,0.38,0.62
"24",1841,0.610169491525424,0.389830508474576,0.41025641025641,0.58974358974359
"25",1921,0.474576271186441,0.525423728813559,0.38,0.62
"26",2001,0.610169491525424,0.389830508474576,0.41025641025641,0.58974358974359
"27",2081,0.677966101694915,0.322033898305085,0.344827586206897,0.655172413793103
"28",2161,0.813559322033898,0.186440677966102,0.421052631578947,0.578947368421053
"29",2241,0.813559322033898,0.186440677966102,0.421052631578947,0.578947368421053
"30",2321,0.813559322033898,0.186440677966102,0.421052631578947,0.578947368421053
"31",2401,0.847457627118644,0.152542372881356,0.470588235294118,0.529411764705882
"32",2481,0.898305084745763,0.101694915254237,0.538461538461538,0.461538461538462
"33",2561,0.898305084745763,0.101694915254237,0.538461538461538,0.461538461538462
"34",2641,0.898305084745763,0.101694915254237,0.538461538461538,0.461538461538462
"35",2721,0.898305084745763,0.101694915254237,0.538461538461538,0.461538461538462
"36",2801,0.898305084745763,0.101694915254237,0.538461538461538,0.461538461538462
"37",2881,0.898305084745763,0.101694915254237,0.538461538461538,0.461538461538462
"38",2961,0.898305084745763,0.101694915254237,0.538461538461538,0.461538461538462
"39",3041,0.898305084745763,0.101694915254237,0.538461538461538,0.461538461538462
"40",3121,0.898305084745763,0.101694915254237,0.538461538461538,0.461538461538462
"41",3201,0.915254237288136,0.0847457627118644,0.545454545454545,0.454545454545455
